Fold1,Mean±Std
65.83,65.83±nan
29.17,29.17±nan
85.00,85.00±nan
95.00,95.00±nan
100.00,100.00±nan
95.83,95.83±nan
93.33,93.33±nan
100.00,100.00±nan
91.67,91.67±nan
88.33,88.33±nan
84.42,84.42±20.67
